the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at
,ES,CAR,Abra,Bucay,Abra,Bucay,188,Bucay North ES,134000,,,134990,36627,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Dolores,Abra,Dolores,119,Libtec ES,102000,,,218501,37988,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Licuan-Baay (Licuan),Abra,Baay-Licuan,11,Agat PS,50000,,,218502,37989,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Lagangilang,Abra,Lagangilang,13,Willy Castillo PS,56000,,,218503,37990,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Malibcong,Abra,Malibcong,24,Gacab PS,54000,,,218508,37995,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Malibcong,Abra,Malibcong,17,Lat-ey PS,53000,,,218509,37996,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Pilar,Abra,Pilar,44,South Balioag PS,57000,,,218516,38002,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Dolores,Abra,Dolores,47,Lourdes Zapata PS,66000,,,218521,38006,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Abra,Daguioman,Abra,Bangued East,195,Capitan NHS,282000,,,305080,46088,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Abra,Lagangilang,Abra,Lagangilang,164,Cayapa NHS,283000,,,305081,46089,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Abra,Tineg,Abra,Tineg,200,Tineg NHS,260000,,,305104,46112,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CARAGA,Agusan Del Norte,Kitcharao,Agusan del Norte,Kitcharao,268,P.C. Reyes ES,150000,,,131452,32849,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CARAGA,Agusan Del Norte,Kitcharao,Agusan del Norte,Kitcharao,409,San Roque ES,198000,,,131454,32851,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region VI,Aklan,Makato,Aklan,Makato,66,Baybay-Alibagon Integrated School,,,,310627,42444,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region VI,Aklan,Batan,Aklan,Batan,50,Palay Integrated School,,,,310628,42445,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region VI,Aklan,Madalag,Aklan,Madalag,29,Ma. Cristina Integrated School,,,,310629,42446,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region VI,Aklan,Batan,Aklan,Batan,36,Ipil Integrated School,,,,310630,42447,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region V,Albay,Tiwi,Albay,Tiwi,393,Sugod ES,220000,,,112080,12642,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VI,Antique,Anini-Y,Antique,Anini-y,321,Magdalena ES,202000,,,114946,15620,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VI,Antique,Caluya,Antique,Caluya,182,Lim ES,118000,,,115014,15688,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VI,Antique,Pandan,Antique,Pandan,106,Ciriaco Tayco MS,103000,,,115149,15819,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VI,Antique,Caluya,Antique,Caluya,296,Panagatan ES,153000,,,178502,18581,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Apayao,Conner,Apayao,Northern Conner,30,Liwan Elementary School,61000,,,219007,38012,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Apayao,Conner,Apayao,Northern Conner,10,Bubog PS,58000,,,219016,38020,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
