the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at,address
NA,ES,CAR,Abra,Bucay,Abra,Bucay,188,Bucay North ES,134000,NA,NA,134990,36627,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bucay North Elementary School, Bucay, Abra"
NA,ES,CAR,Abra,Dolores,Abra,Dolores,119,Libtec ES,102000,NA,NA,218501,37988,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Libtec Elementary School, Dolores, Abra"
NA,ES,CAR,Abra,Licuan-Baay (Licuan),Abra,Baay-Licuan,11,Agat PS,50000,NA,NA,218502,37989,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Agat Primary School, Licuan-Baay (Licuan), Abra"
NA,ES,CAR,Abra,Lagangilang,Abra,Lagangilang,13,Willy Castillo PS,56000,NA,NA,218503,37990,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Willy Castillo Primary School, Lagangilang, Abra"
NA,ES,CAR,Abra,Malibcong,Abra,Malibcong,24,Gacab PS,54000,NA,NA,218508,37995,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Gacab Primary School, Malibcong, Abra"
NA,ES,CAR,Abra,Malibcong,Abra,Malibcong,17,Lat-ey PS,53000,NA,NA,218509,37996,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lat-ey Primary School, Malibcong, Abra"
NA,ES,CAR,Abra,Pilar,Abra,Pilar,44,South Balioag PS,57000,NA,NA,218516,38002,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"South Balioag Primary School, Pilar, Abra"
NA,ES,CAR,Abra,Dolores,Abra,Dolores,47,Lourdes Zapata PS,66000,NA,NA,218521,38006,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lourdes Zapata Primary School, Dolores, Abra"
NA,SS,CAR,Abra,Daguioman,Abra,Bangued East,195,Capitan NHS,282000,NA,NA,305080,46088,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Capitan National High School, Daguioman, Abra"
NA,SS,CAR,Abra,Lagangilang,Abra,Lagangilang,164,Cayapa NHS,283000,NA,NA,305081,46089,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Cayapa National High School, Lagangilang, Abra"
