the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at,address
NA,ES,Region VI,Iloilo,Alimodian,Iloilo,Alimodian II,187,Ban-ag ES,132000,NA,NA,115949,16612,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ban-ag Elementary School, Alimodian, Iloilo"
NA,ES,Region VI,Iloilo,Alimodian,Iloilo,Alimodian II,174,Bugang ES,123000,NA,NA,115951,16614,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bugang Elementary School, Alimodian, Iloilo"
NA,ES,Region VI,Iloilo,Alimodian,Iloilo,Alimodian II,321,Cabacanan ES,202000,NA,NA,115952,16615,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Cabacanan Elementary School, Alimodian, Iloilo"
NA,ES,Region VI,Iloilo,Alimodian,Iloilo,Alimodian II,152,Gines ES,123000,NA,NA,115959,16622,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Gines Elementary School, Alimodian, Iloilo"
NA,ES,Region VI,Iloilo,Alimodian,Iloilo,Alimodian II,64,Laylayan PS,81000,NA,NA,115961,16624,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Laylayan Primary School, Alimodian, Iloilo"
NA,ES,Region VI,Iloilo,Alimodian,Iloilo,Alimodian II,272,Umingan Elementary School,145000,NA,NA,115971,16634,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Umingan Elementary School, Alimodian, Iloilo"
NA,ES,Region VI,Iloilo,Badiangan,Iloilo,Badiangan,63,Astorga PS,74000,NA,NA,115991,16653,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Astorga Primary School, Badiangan, Iloilo"
NA,ES,Region VI,Iloilo,Badiangan,Iloilo,Badiangan,161,Bingauan ES,137000,NA,NA,115993,16655,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bingauan Elementary School, Badiangan, Iloilo"
NA,ES,Region VI,Iloilo,Badiangan,Iloilo,Badiangan,157,Bitaoyan ES,137000,NA,NA,115994,16656,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bitaoyan Elementary School, Badiangan, Iloilo"
NA,ES,Region VI,Iloilo,Badiangan,Iloilo,Badiangan,77,Budiaue PS,85000,NA,NA,115996,16658,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Budiaue Primary School, Badiangan, Iloilo"
NA,ES,Region VI,Iloilo,Badiangan,Iloilo,Badiangan,161,Cabayogan- Latauan ES,133000,NA,NA,115997,16659,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Cabayogan- Latauan Elementary School, Badiangan, Iloilo"
NA,ES,Region VI,Iloilo,Badiangan,Iloilo,Badiangan,55,San Julian Primary School,73000,NA,NA,116007,16669,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"San Julian Primary School, Badiangan, Iloilo"
